State,Year,Average
Andaman & Nicobar Island,2009,0.0
Andhra Pradesh,2009,9789.2421819681
Arunanchal Pradesh,2009,53584.567007058
Assam,2009,57431.682470441
Bihar,2009,34848.638999512
Chandigarh,2009,867.054254898
Chhattisgarh,2009,29793.0700156772
Dadara & Nagar Havelli,2009,1889.341010472
Daman & Diu,2009,2992.312458335
Goa,2009,8342.850231901
Gujarat,2009,23812.008123597
Haryana,2009,10903.4969545
Himachal Pradesh,2009,10518.2053413845
Jammu & Kashmir,2009,22723.283856945
Jharkhand,2009,26156.335157792
Karnataka,2009,37360.4919401062
Kerala,2009,35065.750109543
Lakshadweep,2009,0.0
Madhya Pradesh,2009,45866.715180218
Maharashtra,2009,43278.990166078
Manipur,2009,18104.581152213
Meghalaya,2009,32352.055599296
Mizoram,2009,12256.770085342
NCT of Delhi,2009,2609.532230491
Nagaland,2009,16850.620558652
Odisha,2009,42735.676757486
Puducherry,2009,7180.01697333
Punjab,2009,12046.4753824828
Rajasthan,2009,13610.255652569
Sikkim,2009,19445.75411154
Tamil Nadu,2009,29371.2970472991
Telangana,2009,24044.7622694407
Tripura,2009,15823.084172725
Uttar Pradesh,2009,47495.3875904275
Uttarakhand,2009,13880.3063555736
West Bengal,2009,40156.2175641491
Andaman & Nicobar Island,2010,0.0
Andhra Pradesh,2010,7315.981698356501
Arunanchal Pradesh,2010,69743.3899308122
Assam,2010,84268.0990778483
Bihar,2010,35873.45145171
Chandigarh,2010,1222.4526974702
Chhattisgarh,2010,38093.5390269069
Dadara & Nagar Havelli,2010,2468.5099528045
Daman & Diu,2010,2017.0304703897
Goa,2010,7641.7971311488
Gujarat,2010,30883.1741864135
Haryana,2010,20807.601809017
Himachal Pradesh,2010,37351.0729716126
Jammu & Kashmir,2010,59656.1264982747
Jharkhand,2010,22291.733879164
Karnataka,2010,54312.126405034
Kerala,2010,35738.0843363634
Lakshadweep,2010,0.0
Madhya Pradesh,2010,53292.3407874287
Maharashtra,2010,66801.7693625174
Manipur,2010,21922.8062266447
Meghalaya,2010,40685.2240787085
Mizoram,2010,9741.701078883
NCT of Delhi,2010,5144.3277586572
Nagaland,2010,16314.1867778181
Odisha,2010,34010.0797243019
Puducherry,2010,6265.2465135425
Punjab,2010,17304.182565291
Rajasthan,2010,27531.2830289934
Sikkim,2010,15560.2251488028
Tamil Nadu,2010,17147.3230893685
Telangana,2010,43654.1660333187
Tripura,2010,15653.0690862194
Uttar Pradesh,2010,81853.22916810239
Uttarakhand,2010,31666.6263496891
West Bengal,2010,29667.6952697526
Andaman & Nicobar Island,2011,0.0
Andhra Pradesh,2011,2843.1436290576
Arunanchal Pradesh,2011,40436.7799180191
Assam,2011,55552.8059304028
Bihar,2011,44895.264248333
Chandigarh,2011,1515.4099419862
Chhattisgarh,2011,37418.7991405235
Dadara & Nagar Havelli,2011,1843.465402677
Daman & Diu,2011,1801.9959591731
Goa,2011,8642.5008382623
Gujarat,2011,30411.4566320972
Haryana,2011,15096.822396393
Himachal Pradesh,2011,12776.476978559
Jammu & Kashmir,2011,25682.3611687238
Jharkhand,2011,30689.4003704828
Karnataka,2011,37626.0454227803
Kerala,2011,35605.0865739837
Lakshadweep,2011,0.0
Madhya Pradesh,2011,59001.8987629594
Maharashtra,2011,47912.416220829
Manipur,2011,25255.4432039837
Meghalaya,2011,12938.1678238415
Mizoram,2011,6757.3845249428
NCT of Delhi,2011,4167.2109820466
Nagaland,2011,12012.2905982002
Odisha,2011,34534.6716187022
Puducherry,2011,7482.3546670759
Punjab,2011,21130.2260071437
Rajasthan,2011,25899.2468009679
Sikkim,2011,9114.7191244444
Tamil Nadu,2011,35512.1462395004
Telangana,2011,22245.5568371282
Tripura,2011,12410.0941343428
Uttar Pradesh,2011,70266.3227060514
Uttarakhand,2011,14744.4723078127
West Bengal,2011,26425.9485550245
Andaman & Nicobar Island,2012,0.0
Andhra Pradesh,2012,3056.4267977984
Arunanchal Pradesh,2012,35830.1423979637
Assam,2012,62583.7375692578
Bihar,2012,40523.3861886798
Chandigarh,2012,1004.1745860721
Chhattisgarh,2012,40019.4116024878
Dadara & Nagar Havelli,2012,1726.2952928591
Daman & Diu,2012,1436.112181754
Goa,2012,6814.4530017337
Gujarat,2012,21191.5290529025
Haryana,2012,11077.7859389708
Himachal Pradesh,2012,10751.6017870315
Jammu & Kashmir,2012,23891.8104900345
Jharkhand,2012,27889.7460908093
Karnataka,2012,33521.4746801527
Kerala,2012,26304.6604970738
Lakshadweep,2012,0.0
Madhya Pradesh,2012,52768.1464275777
Maharashtra,2012,41931.221919912
Manipur,2012,25107.1900543687
Meghalaya,2012,16318.9253321991
Mizoram,2012,8309.5085413192
NCT of Delhi,2012,3184.8193633294
Nagaland,2012,10321.9103611517
Odisha,2012,35576.727507649
Puducherry,2012,6905.6737320041
Punjab,2012,17730.9645080981
Rajasthan,2012,22817.9775614899
Sikkim,2012,9856.9795238672
Tamil Nadu,2012,29312.9759881879
Telangana,2012,31721.265660127
Tripura,2012,12798.3972541759
Uttar Pradesh,2012,60281.5570454575
Uttarakhand,2012,11281.0421907892
West Bengal,2012,24146.2163819891
Andaman & Nicobar Island,2013,0.0
Andhra Pradesh,2013,3065.8881697823
Arunanchal Pradesh,2013,45542.1707796429
Assam,2013,59821.8373009129
Bihar,2013,40722.9273980257
Chandigarh,2013,1025.8533013685
Chhattisgarh,2013,40802.5227508083
Dadara & Nagar Havelli,2013,2966.6192349808
Daman & Diu,2013,2732.016023283
Goa,2013,8038.0751465871
Gujarat,2013,35220.7581197357
Haryana,2013,14095.3340977937
